,hub,bins,imsize,bic,aic,covariances,means,n_components,nb_partitions,nk_debug,weights
788,gas,30,75,-7028.257700736116,-7138.444406056448,"[[[3.88796731e-03]]

 [[1.46443094e-05]]

 [[3.82636127e-03]]

 [[4.30519734e-03]]

 [[4.70342564e-04]]

 [[3.58915762e-03]]

 [[5.71332134e-02]]]","[[0.49291893]
 [0.49434784]
 [0.49055071]
 [0.50592957]
 [0.49593982]
 [0.4847971 ]
 [0.47532046]]",7.0,7.0,"[0.1189041095890411, 0.02684931506849315, 0.07945205479452055, 0.18684931506849314, 0.28054794520547943, 0.0936986301369863, 0.2136986301369863]","[0.0761024  0.17959598 0.05741904 0.05036806 0.51519821 0.09923132
 0.02208499]"
789,gas,30,80,-6915.35290675209,-7009.011606274373,"[[[0.00312003]]

 [[0.05358115]]

 [[0.00023478]]

 [[0.00316293]]

 [[0.00296939]]

 [[0.00350187]]]","[[0.48906346]
 [0.47691318]
 [0.49555892]
 [0.49073081]
 [0.48474416]
 [0.50272092]]",6.0,6.0,"[0.2, 0.1863013698630137, 0.30082191780821915, 0.04986301369863014, 0.012602739726027398, 0.2504109589041096]",[0.20063072 0.02435828 0.61875336 0.04502541 0.01803197 0.09320026]
790,gas,30,85,-6938.048560521382,-7015.179254245614,"[[[0.00023475]]

 [[0.00314637]]

 [[0.00328558]]

 [[0.05086258]]

 [[0.00292891]]]","[[0.49555772]
 [0.4897923 ]
 [0.50122253]
 [0.47830727]
 [0.48158284]]",5.0,5.0,"[0.35252192982456143, 0.11732456140350878, 0.20010964912280702, 0.30646929824561403, 0.023574561403508772]",[0.61826344 0.16756324 0.12950252 0.02605323 0.05861758]
791,gas,30,90,-6917.542557457473,-7011.201256979755,"[[[0.00325113]]

 [[0.05023261]]

 [[0.00300815]]

 [[0.00305733]]

 [[0.00309577]]

 [[0.00022929]]]","[[0.50219492]
 [0.47863449]
 [0.48680947]
 [0.48809851]
 [0.48986812]
 [0.49555793]]",6.0,6.0,"[0.2104109589041096, 0.32164383561643833, 0.043835616438356165, 0.033424657534246574, 0.0547945205479452, 0.3358904109589041]",[0.11602022 0.02652141 0.10718398 0.0567071  0.08115742 0.61240987]
792,gas,30,95,-6915.135266217789,-7008.793965740071,"[[[0.05259535]]

 [[0.00329651]]

 [[0.00318307]]

 [[0.00340807]]

 [[0.00298343]]

 [[0.00023554]]]","[[0.47753494]
 [0.49613176]
 [0.49028472]
 [0.50326975]
 [0.48462412]
 [0.4955564 ]]",6.0,6.0,"[0.27342465753424655, 0.05315068493150685, 0.16767123287671232, 0.16876712328767124, 0.041643835616438356, 0.29534246575342465]",[0.02494891 0.03931173 0.17196177 0.07574253 0.06864566 0.6193894 ]
793,gas,30,100,-6937.358575875195,-7014.489269599428,"[[[0.05234346]]

 [[0.00321689]]

 [[0.00337484]]

 [[0.00299938]]

 [[0.00023642]]]","[[0.47761484]
 [0.4914692 ]
 [0.50290077]
 [0.48421605]
 [0.49555704]]",5.0,5.0,"[0.29041095890410956, 0.13863013698630136, 0.18027397260273972, 0.03945205479452055, 0.3512328767123288]",[0.02509559 0.16927535 0.09334455 0.09202414 0.62026037]
794,gas,30,105,-6937.910827266588,-7015.041520990821,"[[[0.00023479]]

 [[0.00293717]]

 [[0.05267226]]

 [[0.00330407]]

 [[0.00317839]]]","[[0.49556606]
 [0.48155093]
 [0.47717093]
 [0.49866638]
 [0.49044187]]",5.0,5.0,"[0.3399122807017544, 0.0756578947368421, 0.23081140350877194, 0.3442982456140351, 0.00932017543859649]",[0.61871694 0.12163944 0.0249066  0.22571312 0.0090239 ]
795,gas,30,110,-6936.924765034752,-7014.055458758985,"[[[0.00023739]]

 [[0.00329181]]

 [[0.00341353]]

 [[0.00309803]]

 [[0.05342809]]]","[[0.49555651]
 [0.49493509]
 [0.50102567]
 [0.48674381]
 [0.4770986 ]]",5.0,5.0,"[0.30082191780821915, 0.044931506849315066, 0.2641095890410959, 0.18136986301369862, 0.20876712328767122]",[0.62146509 0.03139327 0.12705549 0.19565064 0.02443552]
796,gas,30,115,-6939.056253090424,-7016.186946814657,"[[[0.00023161]]

 [[0.05259609]]

 [[0.0033042 ]]

 [[0.00305939]]

 [[0.00318225]]]","[[0.49554878]
 [0.47799471]
 [0.495682  ]
 [0.48847649]
 [0.49199327]]",5.0,5.0,"[0.3221917808219178, 0.20767123287671233, 0.3046575342465753, 0.1567123287671233, 0.008767123287671232]",[0.61533625 0.02499729 0.20356826 0.14940731 0.00669089]
797,gas,30,120,-6936.363716457726,-7013.494410181958,"[[[0.00342117]]

 [[0.00023908]]

 [[0.00308485]]

 [[0.05258718]]

 [[0.00321927]]]","[[0.50055233]
 [0.49554898]
 [0.48673412]
 [0.47778317]
 [0.49063036]]",5.0,5.0,"[0.1747945205479452, 0.30246575342465754, 0.05863013698630137, 0.2827397260273973, 0.18136986301369862]",[0.09841555 0.62302311 0.07553575 0.02493104 0.17809454]
798,gas,30,125,-6960.188310679696,-7020.7909986058785,"[[[0.05336666]]

 [[0.00023543]]

 [[0.00347983]]

 [[0.00311735]]]","[[0.47704418]
 [0.49555801]
 [0.50260932]
 [0.48875719]]",4.0,4.0,"[0.2010958904109589, 0.3189041095890411, 0.256986301369863, 0.22301369863013698]",[0.02448021 0.61938923 0.09917925 0.25695132]
799,gas,30,130,-6914.814574405525,-7008.473273927807,"[[[0.00298957]]

 [[0.00023638]]

 [[0.05283728]]

 [[0.00324327]]

 [[0.00323124]]

 [[0.00352224]]]","[[0.48400166]
 [0.49555495]
 [0.47746873]
 [0.49382706]
 [0.49313999]
 [0.50180693]]",6.0,6.0,"[0.0536986301369863, 0.27835616438356164, 0.23835616438356164, 0.030684931506849315, 0.2378082191780822, 0.1610958904109589]",[0.07665693 0.62029081 0.02479527 0.02455926 0.19705701 0.05664072]
800,gas,30,135,-6959.300595140418,-7019.903283066601,"[[[0.00314792]]

 [[0.00339129]]

 [[0.00023801]]

 [[0.0524106 ]]]","[[0.48836004]
 [0.50229114]
 [0.49555216]
 [0.4777303 ]]",4.0,4.0,"[0.1780821917808219, 0.19232876712328767, 0.3254794520547945, 0.3041095890410959]",[0.24609974 0.10696017 0.62189598 0.02504411]
